a0001-jmac_DSC1459.png,nature,sun or sky,outdoors,day
a0002-dgw_005.png,person(s),mixed,indoors,day
a0003-NKIM_MG_8178.png,man-made object,sun or sky,outdoors,day
a0005-jn_2007_05_10__564.png,man-made object,sun or sky,outdoors,day
a0006-IMG_2787.png,animal(s),sun or sky,outdoors,day
a0007-IMG_2480.png,man-made object,sun or sky,outdoors,day
a0008-WP_CRW_3959.png,person(s),artificial,indoors,unknown
a0009-kme_372.png,unknown,mixed,indoors,day
a0010-jmac_MG_4807.png,nature,sun or sky,outdoors,day
a0012-kme_143.png,man-made object,sun or sky,outdoors,day
a0013-MB_20030906_001.png,person(s),sun or sky,outdoors,day
a0014-WP_CRW_6320.png,animal(s),sun or sky,outdoors,day
a0015-DSC_0081.png,person(s),sun or sky,outdoors,day
a0016-jmac_MG_0795.png,man-made object,sun or sky,outdoors,day
a0018-kme_234.png,nature,sun or sky,outdoors,day
a0019-jmac_MG_0653.png,man-made object,artificial,indoors,unknown
a0020-jmac_MG_6225.png,nature,sun or sky,outdoors,day
a0021-07-11-28-at-09h22m57s-_MG_7427.png,man-made object,sun or sky,outdoors,day
a0022-IMG_2380.png,man-made object,artificial,indoors,unknown
a0023-07-06-02-at-15h06m48-s_MG_1489.png,person(s),artificial,indoors,unknown
a0024-_DSC8932.png,man-made object,sun or sky,outdoors,day
a0025-kme_298.png,man-made object,sun or sky,outdoors,day
a0026-kme_391.png,man-made object,mixed,outdoors,unknown
a0028-_DSC0032.png,animal(s),sun or sky,outdoors,day
a0029-jmac_DSC3974.png,man-made object,sun or sky,outdoors,day
a0030-_MG_7844.png,man-made object,sun or sky,outdoors,day
a0031-WP_CRW_0736.png,person(s),sun or sky,outdoors,day
a0032-jmac_MG_0266.png,man-made object,sun or sky,outdoors,dawn or dusk
a0033-KE_-2590.png,person(s),artificial,indoors,day
a0034-LSYD4O2202.png,nature,sun or sky,outdoors,day
a0035-dgw_048.png,man-made object,sun or sky,outdoors,day
a0036-jn_2007_05_05__183.png,man-made object,sun or sky,outdoors,day
a0037-jmacAlgarve_Sagres_07.png,man-made object,sun or sky,outdoors,day
a0038-MB_070908_135.png,person(s),sun or sky,outdoors,day
a0039-jmac_DSC3406.png,man-made object,sun or sky,outdoors,day
a0040-_DSC5693.png,man-made object,sun or sky,outdoors,day
a0041-IMG_4972.png,nature,sun or sky,outdoors,day
a0043-07-11-27-at-12h09m46s-_MG_7307.png,man-made object,artificial,indoors,day
a0044-JI2E0511.png,animal(s),sun or sky,outdoors,day
a0045-20050320_081337__E6B1177.png,nature,sun or sky,outdoors,day
a0046-dgw_101.png,man-made object,sun or sky,outdoors,day
a0049-_I2E5952.png,person(s),artificial,indoors,unknown
a0050-_DSC0006.png,nature,sun or sky,outdoors,day
a0051-WP_CRW_3461.png,person(s),sun or sky,outdoors,day
a0052-dgw_131.png,man-made object,sun or sky,outdoors,day
a0053-kme_103.png,man-made object,sun or sky,outdoors,day
a0054-kme_097.png,person(s),sun or sky,outdoors,day
a0055-050729_194412__I2E5282.png,person(s),artificial,indoors,unknown
a0056-LSYD4O0815.png,animal(s),sun or sky,outdoors,day
a0057-kme_406.png,person(s),sun or sky,outdoors,day
